Timestamp,Total Buy Orders[BTC],Latest Bid Price[Satoshi]
09-59-46,296.8557737,183
10-00-46,296.8486403,183
10-01-46,297.2552315,183
10-02-46,296.2592316,182
10-03-46,295.5762771,183
10-04-46,296.1268752,182
10-05-47,295.7917015,183
10-06-46,296.0610508,182
10-07-46,295.8416964,183
10-08-46,295.8503326,182
10-09-46,295.3135813,182
10-10-46,295.324054,183
10-11-46,295.8136999,183
10-12-46,296.3490587,183
10-13-46,296.2916625,183
10-14-46,295.7473312,183
10-15-46,296.0102214,183
10-16-46,296.3922961,183
10-17-49,295.7722439,183
10-18-46,295.3477687,183
10-19-46,295.3336204,183
10-20-46,296.5100494,182
10-21-46,295.7460633,182
10-22-46,295.0931492,182
10-23-46,295.5436355,182
10-24-46,295.1368618,183
10-25-46,295.1244497,183
10-26-46,294.9304957,183
10-27-46,295.4272445,183
10-28-46,295.5495139,183
10-29-46,295.4027814,183
10-30-46,295.0215721,183
10-31-46,295.2786188,183
10-32-46,294.9263137,183
10-33-46,295.278412,182
10-34-46,295.460314,183
10-35-46,295.6489636,183
10-36-46,295.0486808,182
10-37-46,295.485378,183
10-38-46,295.5759205,183
10-39-46,295.7228739,183
10-40-46,295.9009845,183
10-41-46,296.3518559,183
10-42-46,296.1527941,183
10-43-46,296.1201264,183
10-44-46,296.7958012,183
10-45-46,296.1627761,183
10-46-46,297.2845894,183
10-47-46,297.1431636,183
10-48-46,298.9455528,183
10-49-47,298.9614729,183
10-50-46,298.9974023,184
10-51-46,299.184115,184
10-52-46,299.2436717,184
10-53-47,298.4996452,184
10-54-46,299.1854609,184
10-55-46,300.2631711,184
10-56-46,299.9047504,184
10-57-46,298.3625647,184
10-58-46,298.3957886,184
10-59-46,298.6494947,184
11-00-46,298.1841063,184
11-01-46,299.1543078,184
11-02-46,298.974935,184
11-03-56,297.2615266,183
11-04-46,299.4402291,183
11-05-46,298.7420337,182
11-06-46,298.9306643,182
11-07-46,296.324457,182
11-08-46,296.3942985,183
11-09-46,296.5031453,183
11-10-46,296.7914992,183
11-11-46,297.6020147,183
11-12-46,300.5080312,184
11-13-46,300.9394978,185
11-14-46,300.7773495,185
11-15-46,302.5233333,184
11-16-46,302.2815962,185
11-17-46,302.6105172,185
11-18-46,302.7722423,185
11-19-46,303.3070379,185
11-20-46,303.4963269,185
11-21-46,303.8391073,184
11-22-46,304.8167057,184
11-23-46,304.0313924,184
11-24-46,304.0966825,185
11-25-46,304.7462531,185
11-26-46,304.585174,184
11-27-46,304.2525433,184
11-28-46,309.1871409,184
11-29-46,308.1582872,184
11-30-47,308.9563895,184
11-31-46,308.9400468,184
11-32-46,307.7917135,184
11-33-46,303.1298941,184
11-34-46,305.5398408,184
11-35-46,305.67733,184
11-36-46,304.5643422,184
11-37-46,305.2082162,185
11-38-46,305.0432165,184
11-39-46,304.8630971,184
11-40-46,306.4563689,184
11-41-46,306.1143148,184
11-42-46,310.8545192,184
11-43-46,307.4164106,184
11-44-46,307.6024687,184
11-45-46,307.5275795,184
11-46-46,307.487273,185
11-47-46,307.4717575,185
11-48-46,306.8338763,184
11-49-46,306.744838,184
11-50-46,306.7363594,185
11-51-46,308.319572,185
11-52-46,308.2748805,185
11-53-46,307.7502416,184
11-54-46,304.6682404,185
11-55-46,304.6200599,184
11-56-46,303.401587,184
11-57-46,303.540049,184
11-58-46,303.6027082,184
11-59-46,302.0512649,184
00-46,301.9535694,184
01-46,302.6339543,184
02-46,302.7802541,184
04-03,302.4090046,184
04-48,302.4249248,184
05-46,302.61243,184
06-46,303.7865348,184
07-46,303.7486605,184
08-46,304.4144583,185
09-47,304.0595921,185
10-46,303.3201874,184
11-46,304.3595295,185
12-46,304.6892501,185
13-46,304.2958849,185
14-46,304.8281865,185
15-47,304.7485744,185
16-46,304.249029,185
17-46,303.7617118,185
18-46,302.7617075,184
19-46,302.6408267,185
20-49,302.6376173,184
21-49,302.8486312,184
